"rgn_id","value","year"
3,159.1,2007
3,162.5,2008
3,165.1,2009
3,169.2,2010
3,172.7,2011
3,175.1,2012
3,177.4,2013
2,86.7,2007
2,88.6,2008
2,90,2009
2,92.2,2010
2,94.2,2011
2,95.5,2012
2,96.7,2013
1,293.1,2007
1,299.3,2008
1,304.2,2009
1,311.6,2010
1,318.2,2011
1,322.6,2012
1,326.8,2013
4,478.3,2007
4,488.5,2008
4,496.4,2009
4,508.6,2010
4,519.4,2011
4,526.5,2012
4,533.4,2013
6,190.6,2007
6,194.7,2008
6,197.9,2009
6,202.7,2010
6,207,2011
6,209.8,2012
6,212.6,2013
5,174.8,2007
5,178.5,2008
5,181.4,2009
5,185.9,2010
5,189.8,2011
5,192.4,2012
5,194.9,2013
7,383.4,2007
7,391.5,2008
7,397.9,2009
7,407.6,2010
7,416.3,2011
7,422,2012
7,427.5,2013
8,388.3,2007
8,396.6,2008
8,403,2009
8,412.9,2010
8,421.6,2011
8,427.4,2012
8,433,2013
9,755.5,2007
9,771.6,2008
9,784.1,2009
9,803.4,2010
9,820.4,2011
9,831.6,2012
9,824.6,2013
10,103,2007
10,105.2,2008
10,106.9,2009
10,109.5,2010
10,111.9,2011
10,113.4,2012
10,114.9,2013
11,120.5,2007
11,123.1,2008
11,125.1,2009
11,128.1,2010
11,130.9,2011
11,132.7,2012
11,134.4,2013
