rgn_id,year,score
1,2012,0.8652
2,2012,0.8024
3,2012,0.709
4,2012,0.952
5,2012,0.4023
6,2012,0.1414
7,2012,0.5583
8,2012,0.9166
9,2012,0.9063
10,2012,0.9332
11,2012,0.9982
1,2011,0.8366
2,2011,0.9449
3,2011,0.4803
4,2011,0.9737
5,2011,0.6811
6,2011,0.2772
7,2011,0.525
8,2011,0.9393
9,2011,0.9505
10,2011,0.983
11,2011,0.9998
1,2013,0.9312
2,2013,0.9049
3,2013,0.6405
4,2013,0.9897
5,2013,0.967
6,2013,0.2846
7,2013,0.6045
8,2013,0.9464
9,2013,0.914
10,2013,0.9214
11,2013,0.9958
1,2010,0.6653
2,2010,0.8863
3,2010,0.6175
4,2010,0.9866
5,2010,0.7655
6,2010,0.3219
7,2010,0.4593
8,2010,0.8774
9,2010,0.9181
10,2010,0.9337
11,2010,1.0
1,2014,0.896
2,2014,0.943
3,2014,0.8494
4,2014,0.9921
5,2014,0.8729
6,2014,0.5413
7,2014,0.6127
8,2014,0.848
9,2014,0.9244
10,2014,0.9444
11,2014,0.9995
