"rgn_id","sciname","popn_trend"
4,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
2,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
10,"Alopias vulpinus","Decreasing"
7,"Alopias vulpinus","Decreasing"
11,"Alopias vulpinus","Decreasing"
8,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
9,"Alopias vulpinus","Decreasing"
5,"Alopias vulpinus","Decreasing"
4,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera acutorostrata","Stable"
10,"Balaenoptera acutorostrata","Stable"
7,"Balaenoptera acutorostrata","Stable"
11,"Balaenoptera acutorostrata","Stable"
8,"Balaenoptera acutorostrata","Stable"
6,"Balaenoptera acutorostrata","Stable"
9,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
2,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
10,"Balaenoptera musculus","Increasing"
7,"Balaenoptera musculus","Increasing"
11,"Balaenoptera musculus","Increasing"
8,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
9,"Balaenoptera musculus","Increasing"
5,"Balaenoptera musculus","Increasing"
4,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
2,"Balaenoptera physalus","Unknown"
1,"Balaenoptera physalus","Unknown"
10,"Balaenoptera physalus","Unknown"
7,"Balaenoptera physalus","Unknown"
11,"Balaenoptera physalus","Unknown"
8,"Balaenoptera physalus","Unknown"
6,"Balaenoptera physalus","Unknown"
9,"Balaenoptera physalus","Unknown"
5,"Balaenoptera physalus","Unknown"
4,"Carcharhinus melanopterus","Decreasing"
3,"Carcharhinus melanopterus","Decreasing"
2,"Carcharhinus melanopterus","Decreasing"
1,"Carcharhinus melanopterus","Decreasing"
10,"Carcharhinus melanopterus","Decreasing"
7,"Carcharhinus melanopterus","Decreasing"
11,"Carcharhinus melanopterus","Decreasing"
