" ","score","status","future","trend","pressures","resilience"
"Index",74.56,,75.63,,,
"Food Provision",53.95,46.49,61.41,0.17,,
". Fisheries",3.13,3,3.26,0,39.86,66.16
". Mariculture",86.85,74.64,99.05,0.28,25.42,67.69
"Artisanal Fishing Opportunity",77.77,73.32,82.22,0.01,31.03,66.2
"Natural Products",99.41,98.82,100,0.09,32.26,70.25
"Carbon Storage",70.67,68.25,73.08,-0.1,23.79,65.51
"Coastal Protection",61.48,64.14,58.82,-0.3,28.72,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,33.23,70.56
". Economies",100,100,100,1,30.37,66.9
"Sense of Place",75.07,74.96,75.18,-0.16,,
". Iconic Species",53.18,56,50.36,-0.33,32.38,69.52
". Lasting Special Places",96.96,93.93,100,0.02,39.82,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.19,80.8,77.58,-0.22,,
". Habitats",77.43,77.03,77.84,-0.19,26.56,69.33
". Species",80.96,84.58,77.33,-0.25,42.16,67.82
