" ","score","status","future","trend","pressures","resilience"
"Index",49.5,,50.9,,,
"Food Provision",0,0,0,0,,
". Fisheries",0,0,0,0,48.7,46.8
". Mariculture",,,,,51.2,60.6
"Artisanal Fishing Opportunity",37.2,37,37.3,0,44.4,46.8
"Natural Products",,,,,,
"Carbon Storage",41.1,40,42.3,0.1,51.8,57.2
"Coastal Protection",38.6,37.5,39.6,0.1,51.8,57.2
"Tourism & Recreation",83.7,82,85.4,0,54.1,57.2
"Coastal Livelihoods & Economies",68.4,59.7,77,0.3,,
". Livelihoods",75.5,62.9,88,0.5,43.1,61
". Economies",61.3,56.6,66,0.2,43.1,57.6
"Sense of Place",85.4,85.9,85,0,,
". Iconic Species",71.2,71.8,70.7,0,54,49.4
". Lasting Special Places",99.7,100,99.3,0,59.3,57.2
"Clean Waters",28.9,28.9,28.9,0,59.9,56.1
"Biodiversity",62,61.2,62.8,0,,
". Habitats",50.8,50,51.7,0.1,51.8,50.2
". Species",73.2,72.5,74,0,55.2,61.5
