" ","score","status","future","trend","pressures","resilience"
"Index",64.09,,64.16,,,
"Food Provision",21.91,20.19,23.62,0.06,,
". Fisheries",6.28,6,6.56,0.01,40.08,66.16
". Mariculture",32.02,29.38,34.66,0.1,33.54,67.69
"Artisanal Fishing Opportunity",77.63,73.32,81.94,0.01,32.19,66.2
"Natural Products",47.73,41.15,54.3,0.23,23.37,74.47
"Carbon Storage",54.47,62.73,46.21,-0.56,31.52,65.51
"Coastal Protection",61.26,64.14,58.38,-0.3,30.79,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,35.15,70.56
". Economies",100,100,100,1,31.75,66.9
"Sense of Place",70.81,69.59,72.03,-0.16,,
". Iconic Species",52.73,56,49.46,-0.33,37.23,69.52
". Lasting Special Places",88.89,83.18,94.61,0.02,40.69,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",78.95,80.8,77.1,-0.22,,
". Habitats",77,77.03,76.98,-0.19,29.92,69.33
". Species",80.9,84.58,77.22,-0.25,42.57,67.82
