" ","score","status","future","trend","pressures","resilience"
"Index",40.48,,38.78,,,
"Food Provision",27.39,20.33,34.45,0.6,,
". Fisheries",0.89,0.9,0.89,-0.01,52.63,51.75
". Mariculture",44.9,33.17,56.64,1,49.25,60.6
"Artisanal Fishing Opportunity",5.2,7.79,2.61,-1,50.1,51.75
"Natural Products",47.55,52.83,42.26,-0.34,45,52.98
"Carbon Storage",39.19,40,38.39,-0.1,49.12,57.22
"Coastal Protection",36.74,37.5,35.99,-0.1,49.12,57.22
"Tourism & Recreation",90.52,81.05,100,1,54.13,57.22
"Coastal Livelihoods & Economies",27.45,20.47,34.44,0.92,,
". Livelihoods",33.74,25.51,41.98,0.84,35.8,60.95
". Economies",21.17,15.44,26.89,1,35.8,57.63
"Sense of Place",18.31,21.69,14.92,-1,,
". Iconic Species",23.33,23.33,23.33,,55.79,55.8
". Lasting Special Places",13.28,20.05,6.5,-1,58.91,57.22
"Clean Waters",54.32,81.48,27.16,-1,59.08,60.08
"Biodiversity",58.08,58.56,57.61,-0.1,,
". Habitats",48.83,50,47.66,-0.1,49.12,55.23
". Species",67.34,67.12,67.56,,61.71,63.71
