" ","score","status","future","trend","pressures","resilience"
"Index",71.04,,71.31,,,
"Food Provision",59.34,56.68,61.99,0.24,,
". Fisheries",3.13,3,3.26,0,39.82,66.16
". Mariculture",95.72,91.43,100,0.39,33.54,67.69
"Artisanal Fishing Opportunity",77.67,73.32,82.03,0.01,31.85,66.2
"Natural Products",74.03,63.86,84.2,0.22,23.24,74.47
"Carbon Storage",54.57,62.73,46.41,-0.56,30.56,65.51
"Coastal Protection",61.31,64.14,58.48,-0.3,30.35,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,35.12,70.56
". Economies",100,100,100,1,31.72,66.9
"Sense of Place",76.4,78,74.81,-0.17,,
". Iconic Species",52.81,56,49.61,-0.33,36.42,69.52
". Lasting Special Places",100,100,100,0,39.67,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79,80.8,77.19,-0.22,,
". Habitats",77.03,77.03,77.04,-0.19,29.71,69.33
". Species",80.97,84.58,77.35,-0.25,42.08,67.82
