" ","score","status","future","trend","pressures","resilience"
"Index",52.2,,48.2,,,
"Food Provision",42.2,60,24.4,-0.8,,
". Fisheries",19.6,24.3,14.9,-0.6,54.5,55.1
". Mariculture",57.5,84.3,30.8,-1,45.9,56.9
"Artisanal Fishing Opportunity",3.9,5.9,2,-1,53.8,55.1
"Natural Products",100,100,100,0,39.4,40
"Carbon Storage",59.6,58.1,61.1,0.1,50.9,54.4
"Coastal Protection",57.2,56,58.5,0,51.3,54.4
"Tourism & Recreation",73.4,55,91.8,1,54.1,54.4
"Coastal Livelihoods & Economies",20.5,15.5,25.5,0.9,,
". Livelihoods",31.2,23.8,38.7,0.8,34.1,50.4
". Economies",9.8,7.2,12.4,1,34.1,46.1
"Sense of Place",46.7,63.8,29.6,-0.5,,
". Iconic Species",27.6,27.6,27.7,0,59.4,60.1
". Lasting Special Places",65.8,100,31.5,-1,58.9,54.4
"Clean Waters",58.4,88.4,28.3,-1,59.1,56.1
"Biodiversity",60.1,59.1,61.1,0,,
". Habitats",67.8,65.7,69.8,0.1,51.5,59.1
". Species",52.5,52.6,52.4,0,63.8,62.6
