" ","score","status","future","trend","pressures","resilience"
"Index",45.39,,48.56,,,
"Food Provision",19.48,14.51,24.45,0.43,,
". Fisheries",0,0,0,0,48.25,45.08
". Mariculture",45.7,34.04,57.35,1,53.58,58.1
"Artisanal Fishing Opportunity",0.95,1.42,0.47,-1,44.73,45.08
"Natural Products",95.05,94.15,95.95,0.07,53.23,45.66
"Carbon Storage",38.83,40,37.66,-0.1,51.79,54.37
"Coastal Protection",36.4,37.5,35.31,-0.1,51.79,54.37
"Tourism & Recreation",91.66,83.32,100,1,54.13,54.37
"Coastal Livelihoods & Economies",36.99,27.79,46.18,0.96,,
". Livelihoods",59.17,44.88,73.47,0.87,39.42,55.04
". Economies",50.79,37.49,64.08,1,39.42,51.27
"Sense of Place",21.52,26.14,16.9,-0.01,,
". Iconic Species",34.28,41.67,26.89,-0.5,54.58,48.65
". Lasting Special Places",29.29,35.76,22.82,-0.52,59.33,54.37
"Clean Waters",79.63,60.08,99.18,1,59.92,54.08
"Biodiversity",33.43,37.33,29.53,0.13,,
". Habitats",48.1,50,46.21,-0.1,51.79,49.12
". Species",51.19,61,41.39,-0.5,56.29,60.38
