province,value,year
TJ,17828.15,2007
TJ,21174.04,2008
TJ,23565.67,2009
TJ,26942,2010
TJ,29916.04,2011
TJ,29626.41,2012
TJ,26359.2,2013
HB,12335.96,2007
HB,14141.41,2008
HB,16683.48,2009
HB,17334.42,2010
HB,19591.91,2011
HB,20543.44,2012
HB,15189.6,2013
LN,13438.43,2007
LN,15836.25,2008
LN,17757.7,2009
LN,20014.57,2010
LN,22879.77,2011
LN,23222.67,2012
LN,20817.8,2013
SD,15366.26,2007
SD,17548.97,2008
SD,19336.91,2009
SD,21736.94,2010
SD,24889.8,2011
SD,25755.19,2012
SD,19008.3,2013
SH,26101.54,2007
SH,29759.13,2008
SH,32402.97,2009
SH,35738.51,2010
SH,40532.29,2011
SH,40188.34,2012
SH,42173.6,2013
JS,17686.48,2007
JS,20175.57,2008
JS,22494.94,2009
JS,25115.4,2010
JS,28971.98,2011
JS,29676.97,2012
JS,24755.5,2013
ZJ,22583.83,2007
ZJ,24980.78,2008
ZJ,27119.3,2009
ZJ,30134.79,2010
ZJ,34264.38,2011
ZJ,34550.3,2012
ZJ,29775,2013
FJ,16983.26,2007
FJ,19686.15,2008
FJ,21692.35,2009
FJ,24149.59,2010
FJ,27378.11,2011
FJ,28055.24,2012
FJ,21217.9,2013
GD,19618.89,2007
GD,21678.51,2008
GD,24116.46,2009
GD,26896.86,2010
GD,30218.76,2011
GD,30226.71,2012
GD,23420.7,2013
GX,13182.57,2007
GX,15393.18,2008
GX,17032.89,2009
GX,18742.21,2010
GX,20846.11,2011
GX,21242.8,2012
GX,14082.3,2013
HN,11792.05,2007
HN,13598.6,2008
HN,14909.28,2009
HN,16929.63,2010
HN,20094.18,2011
HN,20917.71,2012
HN,15733.3,2013
