category,value,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,520.8,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,531.3,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,540,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,553.2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,565.5,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,573.2,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine fishery and the related industries,580.8,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,18.5,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,18.9,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,19.2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,19.7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,20.1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,20.4,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore oil and natural gas industry,20.7,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.5,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.5,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.6,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.6,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.6,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.6,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beach placer industry,1.7,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,22.4,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,22.9,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,23.3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,23.8,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,24.4,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,24.7,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt industry,25,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,24.1,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,24.6,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,25,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,25.6,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,24.1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,26.5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine chemical industry,26.8,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
