" ","score","status","future","trend","pressures","resilience"
"Index",73.04,,72.81,,,
"Food Provision",59.95,58.77,61.13,0.24,,
". Fisheries",1.04,1,1.09,0,39.78,66.16
". Mariculture",98.08,96.16,100,0.4,33.54,67.69
"Artisanal Fishing Opportunity",77.68,73.32,82.04,0.01,31.8,66.2
"Natural Products",93.31,86.63,100,0.21,23.23,74.47
"Carbon Storage",54.59,62.73,46.44,-0.56,30.42,65.51
"Coastal Protection",61.32,64.14,58.49,-0.3,30.28,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,35.12,70.56
". Economies",100,100,100,1,31.71,66.9
"Sense of Place",76.41,78,74.82,-0.17,,
". Iconic Species",52.82,56,49.63,-0.33,36.3,69.52
". Lasting Special Places",100,100,100,0,39.52,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.01,80.8,77.21,-0.22,,
". Habitats",77.04,77.03,77.05,-0.19,29.67,69.33
". Species",80.98,84.58,77.37,-0.25,42.01,67.82
