" ","score","status","future","trend","pressures","resilience"
"Index",68.48,,68.79,,,
"Food Provision",38.38,34.59,42.16,0.11,,
". Fisheries",5.23,5,5.47,0.01,39.87,66.16
". Mariculture",59.83,53.74,65.92,0.17,33.54,67.69
"Artisanal Fishing Opportunity",77.66,73.32,82.01,0.01,31.92,66.2
"Natural Products",69.42,59.92,78.92,0.22,23.27,74.47
"Carbon Storage",54.55,62.73,46.37,-0.56,30.75,65.51
"Coastal Protection",61.3,64.14,58.46,-0.3,30.43,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,35.13,70.56
". Economies",100,100,100,1,31.72,66.9
"Sense of Place",76.4,78,74.79,-0.17,,
". Iconic Species",52.79,56,49.58,-0.33,36.58,69.52
". Lasting Special Places",100,100,100,0,39.86,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",78.99,80.8,77.18,-0.22,,
". Habitats",77.03,77.03,77.03,-0.19,29.75,69.33
". Species",80.95,84.58,77.33,-0.25,42.17,67.82
