" ","score","status","future","trend","pressures","resilience"
"Index",68.99,,69.65,,,
"Food Provision",53.34,46.49,60.2,0.17,,
". Fisheries",3.13,3,3.26,0,39.86,66.16
". Mariculture",85.85,74.64,97.05,0.28,33.54,67.69
"Artisanal Fishing Opportunity",77.66,73.32,82.01,0.01,31.91,66.2
"Natural Products",61.04,52.58,69.5,0.23,23.26,74.47
"Carbon Storage",54.56,62.73,46.38,-0.56,30.71,65.51
"Coastal Protection",61.3,64.14,58.46,-0.3,30.42,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,35.13,70.56
". Economies",100,100,100,1,31.72,66.9
"Sense of Place",74.88,74.96,74.79,-0.16,,
". Iconic Species",52.79,56,49.59,-0.33,36.54,69.52
". Lasting Special Places",96.96,93.93,100,0.02,39.82,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",78.99,80.8,77.18,-0.22,,
". Habitats",77.03,77.03,77.03,-0.19,29.74,69.33
". Species",80.96,84.58,77.33,-0.25,42.16,67.82
