" ","score","status","future","trend","pressures","resilience"
"Index",70.74,,71.58,,,
"Food Provision",22.14,20.19,24.09,0.06,,
". Fisheries",6.28,6,6.56,0.01,40.08,66.16
". Mariculture",32.41,29.38,35.45,0.1,25.42,67.69
"Artisanal Fishing Opportunity",77.74,73.32,82.16,0.01,31.31,66.2
"Natural Products",97.26,94.52,100,-0.07,32.26,70.25
"Carbon Storage",70.57,68.25,72.88,-0.1,24.65,65.51
"Coastal Protection",61.44,64.14,58.74,-0.3,29.09,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,33.25,70.56
". Economies",100,100,100,1,30.4,66.9
"Sense of Place",71,69.59,72.42,-0.16,,
". Iconic Species",53.11,56,50.23,-0.33,33.07,69.52
". Lasting Special Places",88.89,83.18,94.61,0.02,40.69,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.15,80.8,77.5,-0.22,,
". Habitats",77.41,77.03,77.79,-0.19,26.74,69.33
". Species",80.9,84.58,77.22,-0.25,42.57,67.82
