" ","score","status","future","trend","pressures","resilience"
"Index",71.8,,73.73,,,
"Food Provision",17.3,15.68,18.92,0.06,,
". Fisheries",0,0,0,0,39.77,66.16
". Mariculture",28.5,25.83,31.16,0.1,25.42,67.69
"Artisanal Fishing Opportunity",77.78,73.32,82.25,0.01,30.92,66.2
"Natural Products",93.33,90.19,96.47,-0.08,32.26,70.25
"Carbon Storage",84.13,68.25,100,1,23.4,65.51
"Coastal Protection",61.5,64.14,58.85,-0.3,28.58,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,33.23,70.56
". Economies",100,100,100,1,30.36,66.9
"Sense of Place",76.6,78,75.2,-0.17,,
". Iconic Species",53.2,56,50.4,-0.33,32.12,69.52
". Lasting Special Places",100,100,100,0,39.5,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.21,80.8,77.61,-0.22,,
". Habitats",77.44,77.03,77.85,-0.19,26.49,69.33
". Species",80.98,84.58,77.37,-0.25,42,67.82
