" ","score","status","future","trend","pressures","resilience"
"Index",75.75,,75.88,,,
"Food Provision",63.59,63.46,63.71,0.15,,
". Fisheries",7.33,7,7.66,0.01,39.79,66.16
". Mariculture",100,100,100,0.24,25.42,67.69
"Artisanal Fishing Opportunity",77.78,73.32,82.25,0.01,30.94,66.2
"Natural Products",100,100,100,0.4,31.55,71.11
"Carbon Storage",70.69,68.25,73.13,-0.1,23.54,65.51
"Coastal Protection",61.49,64.14,58.84,-0.3,28.61,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,33.23,70.56
". Economies",100,100,100,1,30.36,66.9
"Sense of Place",76.6,78,75.2,-0.17,,
". Iconic Species",53.2,56,50.39,-0.33,32.18,69.52
". Lasting Special Places",100,100,100,0,39.58,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.21,80.8,77.61,-0.22,,
". Habitats",77.44,77.03,77.85,-0.19,26.51,69.33
". Species",80.97,84.58,77.37,-0.25,42.03,67.82
