" ","score","status","future","trend","pressures","resilience"
"Index",52.2,,48.22,,,
"Food Provision",42.17,59.95,24.39,-0.83,,
". Fisheries",19.62,24.3,14.93,-0.58,54.5,55.08
". Mariculture",57.55,84.26,30.84,-1,45.92,56.85
"Artisanal Fishing Opportunity",3.92,5.88,1.97,-1,53.81,55.08
"Natural Products",100,100,100,0,39.41,40
"Carbon Storage",59.6,58.15,61.06,0.06,50.91,54.37
"Coastal Protection",57.25,56.02,58.48,0.05,51.34,54.37
"Tourism & Recreation",73.38,54.95,91.81,1,54.13,54.37
"Coastal Livelihoods & Economies",20.53,15.54,25.52,0.92,,
". Livelihoods",31.25,23.84,38.66,0.85,34.06,50.35
". Economies",9.81,7.24,12.38,1,34.06,46.11
"Sense of Place",46.7,63.81,29.59,-0.5,,
". Iconic Species",27.65,27.62,27.68,0,59.43,60.08
". Lasting Special Places",65.75,100,31.5,-1,58.91,54.37
"Clean Waters",58.37,88.43,28.31,-1,59.08,56.08
"Biodiversity",60.12,59.13,61.11,0.03,,
". Habitats",67.76,65.67,69.84,0.06,51.52,59.12
". Species",52.49,52.59,52.38,0,63.79,62.6
