" ","score","status","future","trend","pressures","resilience"
"Index",65.98,,64.04,,,
"Food Provision",20.55,18.56,22.54,0.07,,
". Fisheries",2.09,2,2.17,0,39.84,66.16
". Mariculture",32.5,29.28,35.72,0.12,25.42,67.69
"Artisanal Fishing Opportunity",77.77,73.32,82.23,0.01,31,66.2
"Natural Products",,,,,31.44,70.68
"Carbon Storage",50.1,68.25,31.94,-1,23.72,65.51
"Coastal Protection",61.48,64.14,58.83,-0.3,28.69,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,33.23,70.56
". Economies",100,100,100,1,30.37,66.9
"Sense of Place",76.59,78,75.18,-0.17,,
". Iconic Species",53.18,56,50.37,-0.33,32.32,69.52
". Lasting Special Places",100,100,100,0,39.75,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.2,80.8,77.59,-0.22,,
". Habitats",77.43,77.03,77.84,-0.19,26.54,69.33
". Species",80.96,84.58,77.34,-0.25,42.12,67.82
