" ","score","status","future","trend","pressures","resilience"
"Index",71.6,,73,,,
"Food Provision",15.37,14.05,16.69,0.06,,
". Fisheries",4.19,4,4.37,0.01,39.86,66.16
". Mariculture",22.61,20.56,24.67,0.09,25.42,67.69
"Artisanal Fishing Opportunity",77.77,73.32,82.22,0.01,31.04,66.2
"Natural Products",97.57,95.14,100,0.09,32.26,70.25
"Carbon Storage",79.88,68.25,91.51,0.3,23.81,65.51
"Coastal Protection",61.48,64.14,58.82,-0.3,28.73,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,33.23,70.56
". Economies",100,100,100,1,30.37,66.9
"Sense of Place",76.59,78,75.18,-0.17,,
". Iconic Species",53.18,56,50.35,-0.33,32.4,69.52
". Lasting Special Places",100,100,100,0,39.86,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",79.19,80.8,77.58,-0.22,,
". Habitats",77.43,77.03,77.83,-0.19,26.57,69.33
". Species",80.95,84.58,77.33,-0.25,42.17,67.82
