" ","score","status","future","trend","pressures","resilience"
"Index",43.55,,42.78,,,
"Food Provision",0,0,0,0,,
". Fisheries",0,0,0,0,48.67,46.75
". Mariculture",,,,,51.25,60.6
"Artisanal Fishing Opportunity",0.34,0.5,0.17,-1,44.36,46.75
"Natural Products",,,,,,
"Carbon Storage",41.13,40,42.26,0.06,51.79,57.22
"Coastal Protection",38.56,37.5,39.62,0.06,51.79,57.22
"Tourism & Recreation",99.7,99.41,100,1,54.13,57.22
"Coastal Livelihoods & Economies",79.17,59.72,98.61,0.94,,
". Livelihoods",81.42,62.85,100,0.89,43.1,60.95
". Economies",76.91,56.6,97.23,1,43.1,57.63
"Sense of Place",47.09,64.12,30.06,-0.5,,
". Iconic Species",28.02,28.24,27.81,0,53.97,49.37
". Lasting Special Places",66.15,100,32.3,-1,59.33,57.22
"Clean Waters",23.94,36.34,11.53,-1,59.92,56.08
"Biodiversity",62.02,61.23,62.82,0.03,,
". Habitats",50.83,50,51.67,0.06,51.79,50.23
". Species",73.21,72.45,73.96,0,55.18,61.49
