" ","score","status","future","trend","pressures","resilience"
"Index",46.71,,44.23,,,
"Food Provision",21.94,29.01,14.87,-0.7,,
". Fisheries",19.62,24.3,14.93,-0.58,54.5,55.08
". Mariculture",27.46,40.21,14.72,-1,45.92,56.85
"Artisanal Fishing Opportunity",3.92,5.88,1.97,-1,53.81,55.08
"Natural Products",100,100,100,0,39.41,40
"Carbon Storage",59.6,58.15,61.06,0.06,50.91,54.37
"Coastal Protection",57.25,56.02,58.48,0.05,51.34,54.37
"Tourism & Recreation",90.52,81.05,100,1,54.13,54.37
"Coastal Livelihoods & Economies",15.86,12.1,19.63,0.95,,
". Livelihoods",36.77,28.05,45.49,0.85,34.06,50.35
". Economies",9.81,7.24,12.38,1,34.06,46.11
"Sense of Place",19.19,21.46,16.91,0,,
". Iconic Species",43.38,43.33,43.43,0,59.43,60.08
". Lasting Special Places",13.18,20.05,6.32,-1,58.91,54.37
"Clean Waters",58.37,88.43,28.31,-1,59.08,56.08
"Biodiversity",40.41,39.75,41.08,0.35,,
". Habitats",67.76,65.67,69.84,0.06,51.52,59.12
". Species",52.49,52.59,52.38,0,63.79,62.6
