" ","score","status","future","trend","pressures","resilience"
"Index",52.22,,53.82,,,
"Food Provision",29.48,29.21,29.76,0.57,,
". Fisheries",25.22,18.92,31.52,1,61.17,60.08
". Mariculture",44.93,66.51,23.36,-1,57.92,64.35
"Artisanal Fishing Opportunity",24.42,36.4,12.43,-1,56.58,60.08
"Natural Products",95.05,90.1,100,0.52,56.09,60
"Carbon Storage",39.23,40.03,38.43,-0.1,54.79,62.94
"Coastal Protection",37.1,37.54,36.67,-0.07,54.79,62.94
"Tourism & Recreation",87.38,74.76,100,1,54.13,62.94
"Coastal Livelihoods & Economies",48.97,37.02,60.92,0.98,,
". Livelihoods",81.49,62.97,100,0.95,41.53,64.89
". Economies",64.42,47.09,81.75,1,41.53,61.57
"Sense of Place",35.22,47.33,23.1,-0.08,,
". Iconic Species",37.56,41,34.11,-0.25,63.07,62.94
". Lasting Special Places",67.1,100,34.19,-1,59.33,62.94
"Clean Waters",86.13,72.25,100,1,59.92,64.08
"Biodiversity",39.17,41.49,36.86,0.22,,
". Habitats",53.77,55,52.54,-0.1,55.73,62.45
". Species",62.75,68.46,57.04,-0.25,66.85,67.04
