" ","score","status","future","trend","pressures","resilience"
"Index",51.38,,44.15,,,
"Food Provision",58.19,50.86,65.52,0.66,,
". Fisheries",0,0,0,0,62,58.42
". Mariculture",88.81,77.63,100,1,57.92,61.85
"Artisanal Fishing Opportunity",26.16,39.09,13.23,-1,55.84,58.42
"Natural Products",92.58,89.76,95.39,0.13,54.23,47.71
"Carbon Storage",39.43,40.34,38.52,-0.09,54.58,60.08
"Coastal Protection",37.32,37.89,36.75,-0.07,54.92,60.08
"Tourism & Recreation",62.75,92.99,32.51,-1,54.13,60.08
"Coastal Livelihoods & Economies",63.37,59.75,67,0.99,,
". Livelihoods",89.12,78.24,100,0.97,40.77,57.47
". Economies",100,100,100,1,40.77,53.69
"Sense of Place",38.07,49.22,26.92,0,,
". Iconic Species",46.59,46.67,46.52,0,62.46,61.51
". Lasting Special Places",66.62,100,33.25,-1,59.33,60.08
"Clean Waters",59.1,88.84,29.36,-1,59.92,60.08
"Biodiversity",36.83,37.36,36.3,0.3,,
". Habitats",58.59,60,57.17,-0.09,56.46,61.34
". Species",50.9,51.07,50.73,0,66.85,64.82
