" ","score","status","future","trend","pressures","resilience"
"Index",40.8,,38.59,,,
"Food Provision",21.86,23.22,20.5,-0.67,,
". Fisheries",9.32,13.62,5.01,-1,51.17,62.58
". Mariculture",86.22,72.45,100,1,36.92,60.6
"Artisanal Fishing Opportunity",9.84,14.48,5.2,-1,53.81,62.58
"Natural Products",54.29,65.77,42.8,-0.63,31.07,53.33
"Carbon Storage",39.7,40.02,39.38,-0.1,43.3,58.65
"Coastal Protection",37.16,37.14,37.19,-0.07,43.13,58.65
"Tourism & Recreation",68.51,50.66,86.36,1,48.13,58.65
"Coastal Livelihoods & Economies",23.4,17.39,29.42,0.93,,
". Livelihoods",36.92,27.61,46.23,0.86,27.8,58.38
". Economies",9.88,7.17,12.6,1,27.8,54.6
"Sense of Place",25.64,31.83,19.45,-0.7,,
". Iconic Species",33.79,38,29.58,-0.4,52.46,66.51
". Lasting Special Places",17.49,25.65,9.32,-1,48.49,58.65
"Clean Waters",77.82,97.13,58.5,-0.64,50.75,60.08
"Biodiversity",49.83,52.58,47.09,-0.25,,
". Habitats",59.99,60,59.99,-0.1,45.66,65.78
". Species",39.67,45.15,34.2,-0.4,57.12,64.82
