" ","score","status","future","trend","pressures","resilience"
"Index",56.94,,54.52,,,
"Food Provision",65.02,64.04,66.01,0.77,,
". Fisheries",6.59,5.86,7.33,0.37,57,57.58
". Mariculture",98.87,97.74,100,1,53.92,60.6
"Artisanal Fishing Opportunity",42.46,63.57,21.34,-1,55.84,57.58
"Natural Products",92.35,84.7,100,0.73,48.61,41.54
"Carbon Storage",39.18,40.07,38.29,-0.1,52.16,58.65
"Coastal Protection",37.07,37.6,36.55,-0.07,52.26,58.65
"Tourism & Recreation",89.42,78.84,100,1,54.13,58.65
"Coastal Livelihoods & Economies",64.04,47.53,80.55,0.97,,
". Livelihoods",70.36,52.4,88.33,0.95,37.07,52.17
". Economies",57.72,42.67,72.78,1,37.07,47.93
"Sense of Place",28.19,30.08,26.29,-0.17,,
". Iconic Species",28.83,32.59,25.07,-0.33,63.07,60.8
". Lasting Special Places",27.54,27.57,27.51,0,59.33,58.65
"Clean Waters",61.54,92.97,30.12,-1,59.92,58.08
"Biodiversity",50.08,54.14,46.02,-0.22,,
". Habitats",46.48,47.5,45.46,-0.1,53.89,60.78
". Species",53.67,60.78,46.57,-0.33,66.85,63.71
